Date,Time,vRMS(mm/s),aRMS(g),aPeak(g),Temperature(℃)
2024-09-12,16:32:32,0,0,0,31
2024-09-12,16:32:33,0,0,0,31
2024-09-12,16:32:33,0,0,0,31
2024-09-12,16:32:33,0,0,0,31
2024-09-12,16:32:33,0,0,0,31
2024-09-12,16:32:33,0,0,0,31
2024-09-12,16:32:33,0,0,0,31
2024-09-12,16:32:33,0,0,0,31
2024-09-12,16:32:33,0,0,0,31
2024-09-12,16:32:33,0,0,0,31
2024-09-12,16:32:33,0,0,0,31
2024-09-12,16:32:33,0,0,0.01,31
2024-09-12,16:32:33,0,0,0.01,31
2024-09-12,16:32:33,0,0,0.01,31
2024-09-12,16:32:33,0,0,0.01,31
2024-09-12,16:32:33,0,0,0.01,31
2024-09-12,16:32:33,0,0,0.01,31
2024-09-12,16:32:33,0,0,0.01,31
2024-09-12,16:32:33,0,0,0.01,31
2024-09-12,16:32:33,0,0,0.01,31
2024-09-12,16:32:33,0,0,0.01,31
2024-09-12,16:32:33,0,0,0.01,31
2024-09-12,16:32:33,3,0.04,0.01,31
2024-09-12,16:32:33,3,0.04,0.01,31
2024-09-12,16:32:34,3,0.04,0.01,31
2024-09-12,16:32:34,3,0.04,0.01,31
2024-09-12,16:32:34,3,0.04,0.01,31
2024-09-12,16:32:34,3,0.04,0.01,31
2024-09-12,16:32:34,5,0.05,0.01,31
2024-09-12,16:32:34,5,0.05,0.01,31
2024-09-12,16:32:34,5,0.05,0.01,31
2024-09-12,16:32:34,7,0.07,0.01,31
2024-09-12,16:32:34,8,0.08,0.01,31
2024-09-12,16:32:34,8,0.08,0.01,31
2024-09-12,16:32:34,8,0.09,0.01,31
2024-09-12,16:32:34,8,0.09,0.01,31
2024-09-12,16:32:34,9,0.12,0.97,31
2024-09-12,16:32:34,9,0.12,0.97,31
2024-09-12,16:32:34,9,0.12,0.97,31
2024-09-12,16:32:34,9,0.12,0.97,31
2024-09-12,16:32:34,9,0.12,0.97,31
2024-09-12,16:32:34,10,0.12,0.97,31
2024-09-12,16:32:34,10,0.12,0.97,31
2024-09-12,16:32:34,10,0.12,0.97,31
2024-09-12,16:32:34,10,0.12,0.97,31
2024-09-12,16:32:34,11,0.12,0.97,31
2024-09-12,16:32:34,11,0.12,0.97,31
2024-09-12,16:32:34,11,0.12,0.97,31
2024-09-12,16:32:35,11,0.12,0.97,31
2024-09-12,16:32:35,11,0.12,0.97,31
2024-09-12,16:32:35,13,0.14,0.97,31
2024-09-12,16:32:35,13,0.14,0.97,31
2024-09-12,16:32:35,14,0.14,0.97,31
2024-09-12,16:32:35,14,0.14,0.97,31
2024-09-12,16:32:35,14,0.14,0.97,31
2024-09-12,16:32:35,14,0.14,0.97,31
2024-09-12,16:32:35,15,0.15,0.97,31
2024-09-12,16:32:35,15,0.15,0.97,31
2024-09-12,16:32:35,15,0.15,0.97,31
2024-09-12,16:32:35,15,0.14,0.97,31
2024-09-12,16:32:35,15,0.14,0.97,31
2024-09-12,16:32:35,19,0.16,1.16,31
2024-09-12,16:32:35,19,0.16,1.16,31
2024-09-12,16:32:35,19,0.16,1.16,31
2024-09-12,16:32:35,19,0.16,1.16,31
2024-09-12,16:32:35,20,0.17,1.16,31
2024-09-12,16:32:35,20,0.17,1.16,31
2024-09-12,16:32:35,22,0.17,1.16,31
2024-09-12,16:32:35,22,0.17,1.16,31
2024-09-12,16:32:35,22,0.17,1.16,31
2024-09-12,16:32:35,22,0.17,1.16,31
2024-09-12,16:32:35,25,0.18,1.16,31
2024-09-12,16:32:35,25,0.18,1.16,31
2024-09-12,16:32:35,25,0.18,1.16,31
2024-09-12,16:32:35,25,0.18,1.16,31
2024-09-12,16:32:36,25,0.18,1.16,31
2024-09-12,16:32:36,25,0.18,1.16,31
2024-09-12,16:32:36,25,0.18,1.16,31
2024-09-12,16:32:36,28,0.19,1.16,31
2024-09-12,16:32:36,28,0.19,1.16,31
2024-09-12,16:32:36,28,0.19,1.16,31
2024-09-12,16:32:36,28,0.19,1.16,31
2024-09-12,16:32:36,28,0.19,1.16,31
2024-09-12,16:32:36,32,0.24,1.16,31
2024-09-12,16:32:36,32,0.24,1.16,31
2024-09-12,16:32:36,33,0.23,1.16,31
2024-09-12,16:32:36,33,0.23,1.16,31
2024-09-12,16:32:36,37,0.25,1.16,31
2024-09-12,16:32:36,37,0.25,1.85,31
2024-09-12,16:32:36,37,0.25,1.85,31
2024-09-12,16:32:36,37,0.25,1.85,31
2024-09-12,16:32:36,42,0.27,1.85,31
2024-09-12,16:32:36,42,0.27,1.85,31
2024-09-12,16:32:36,44,0.28,1.85,31
2024-09-12,16:32:36,44,0.28,1.85,31
2024-09-12,16:32:36,46,0.3,1.85,31
2024-09-12,16:32:36,46,0.3,1.85,31
2024-09-12,16:32:36,54,0.34,1.85,31
2024-09-12,16:32:36,54,0.34,1.85,31
2024-09-12,16:32:36,56,0.34,1.85,31
2024-09-12,16:32:37,56,0.34,1.85,31
2024-09-12,16:32:37,56,0.34,1.85,31
2024-09-12,16:32:37,63,0.37,1.85,31
2024-09-12,16:32:37,63,0.37,1.85,31
2024-09-12,16:32:37,63,0.37,1.85,31
